results/AGENT-COORDINATION-ARCHIVE-20260707.md,54,2026-07-06,attention-fwd,combine-unroll post-qkrope boundary recheck,s4096+s3072,PARKED,2105Z log contaminated (absolutes ~5.7ms; means contradicted medians),parked with no source change; reclaim needs clean local GPU repeat
results/AGENT-COORDINATION-ARCHIVE-20260707.md,463,2026-07-06,qwen,n256 direct-GEMM mbarrier ring,qwen4b-l1,PROMOTED,-168.98/-190.53us 16/16; old loses +200.67/+170.30 0/16; total 9221.8->8910.2us,commit 8e8cece; qwen-exact default
results/AGENT-COORDINATION-ARCHIVE-20260707.md,491,2026-07-06,qwen,stage3 route confirmation,qwen4b-l1,NO-GO,forced-old stage2 +293.62/+251.34 0/16,keep MK_WGMMA_N256_STAGE3 on; recorded 0755f83
results/AGENT-COORDINATION-ARCHIVE-20260707.md,508,2026-07-06,qwen,n256 N-major route confirmation,qwen4b-l1,NO-GO,forced M-major +87.02 (2/16)/+37.73 (4/16),keep N-major; recorded 1f649ae
results/AGENT-COORDINATION-ARCHIVE-20260707.md,525,2026-07-06,measurement,qwen profile refresh @607ed60,qwen4b-l1,MEASUREMENT,total 9221.8us; head-dX 2886.0; lm-head fwd 2463.6; CE_BWD 295.8; off-path vocab dW 5112.1,recorded 952f02e
results/AGENT-COORDINATION-ARCHIVE-20260707.md,546,2026-07-06,attention,s8192 band-order lpt confirmation post-c3c5f56,s8192,NO-GO,-2.96 (10/16) then +5.79 (6/16) order-mixed,keep dq_first; recorded 607ed60
results/AGENT-COORDINATION-ARCHIVE-20260707.md,566,2026-07-06,attention-fwd,s8192 fwd-band retune post-combine,s8192,NO-GO,T48 +58.48/+78.26; T56 +7.63/+15.65; T60 +74.90; T63 +119.74; T66 +8.56/+11.50; T72 +399.79/+436.29,keep T64; recorded c3c5f56
results/AGENT-COORDINATION-ARCHIVE-20260707.md,595,2026-07-06,measurement,s8192 profile post-combine-unroll,s8192,MEASUREMENT,total 6886.2us; ATTN_DKV 2461.3 (1992.6 wait); ATTN_FWD 1155.5,combine no longer top on-path
results/AGENT-COORDINATION-ARCHIVE-20260707.md,615,2026-07-06,attention-fwd,s8192 attention-combine unroll,s8192,PROMOTED,default-minus-unroll +37.94 (48/48)/+23.39 (46/48); forced-old loses -29.30/-44.29; S4096 weak; S3072 regressed,commit 8135329 _acur; scalarizes C<=8 combine weights
results/AGENT-COORDINATION-ARCHIVE-20260707.md,643,2026-07-06,rowop,small SWIGLU_BWD_4W 4-wide variant,small,NO-GO,default-minus-v4 -5.97 (22/80)/-8.54 (18/80),source probe reverted; recorded af3ba5c
results/AGENT-COORDINATION-ARCHIVE-20260707.md,656,2026-07-06,rowop,small Drow zero-fill skip recheck,small,NO-GO,+0.88 then -7.23 order-mixed (41/80; 20/80),keep zero-fill; recorded 81eee72
results/AGENT-COORDINATION-ARCHIVE-20260707.md,674,2026-07-06,lm-head,small head-dX route recheck (old-split + m64 no-atomic),small,NO-GO,old-split -5.14/-3.87; m64 +2.08/-0.26 then 480-rep +3.92/+0.40 too weak,keep n128 fp32/no-atomic; recorded 6ead35e
results/AGENT-COORDINATION-ARCHIVE-20260707.md,699,2026-07-06,rowop,small RMS bwd split recheck (forced combined),small,NO-GO,default-minus-combined -5.39 (26/80)/-12.02 (15/80),keep split RMS backward; recorded dbfe702
results/AGENT-COORDINATION-ARCHIVE-20260707.md,717,2026-07-06,attention-dq,small dQ row-scalar broadcast probe,small,NO-GO,default-minus-rowbcast -14.00 (8/80)/-13.47 (14/80),source probe reverted; recorded a20dfaf
results/AGENT-COORDINATION-ARCHIVE-20260707.md,737,2026-07-06,scheduling,small COLD_CAP=64 recheck post-direct-bf16,small,NO-GO,cap64 loses -3.04 (65/160)/-0.85 (75/160),keep cap48; recorded 4918611
results/AGENT-COORDINATION-ARCHIVE-20260707.md,753,2026-07-06,attention,small attention chunk recheck post-direct-bf16,small,NO-GO,DKV1/DQ2 loses -29.44 (2/80)/-28.46 (1/80),keep DKV_C=1/DQ_C=1; recorded 2c952a6
results/AGENT-COORDINATION-ARCHIVE-20260707.md,771,2026-07-06,gemm-fwd,small direct-BF16 GEMM epilogue default,small,PROMOTED,+27.82/+27.01 80/80; promoted-vs-old +28.82/+23.71; score 3312.5 vs 1903.3 (1.74x),commit fc32323; 32 WGMMA BF16-output rows
results/AGENT-COORDINATION-ARCHIVE-20260707.md,797,2026-07-06,attention,small attention chunk recheck post-n128,small,NO-GO,variants 2/1 3/1 1/2 2/2 lose -77.71..-32.99 zero wins,keep DKV_C=1/DQ_C=1; recorded 2276fd7
results/AGENT-COORDINATION-ARCHIVE-20260707.md,817,2026-07-06,lm-head,small MK_WGMMA_N128=0 check,small,NO-GO,n128off loses -48.88 (1/80)/-48.67 (0/80),keep small lm-head n128; recorded 7e1b7e5
results/AGENT-COORDINATION-ARCHIVE-20260707.md,836,2026-07-06,tma-smem,small MK_GEMM_MBAR_RING=0 recheck post-n128,small,NO-GO,old-minus-default +154.51/+150.94 default 80/80,keep D64 mbar ring; recorded 58abd88
results/AGENT-COORDINATION-ARCHIVE-20260707.md,851,2026-07-06,scheduling,small COLD_CAP re-sweep post-n128,small,NO-GO,focused cap48-vs-cap64 -0.13/+1.36 fails gate,keep cap48; recorded 520d2fa
results/AGENT-COORDINATION-ARCHIVE-20260707.md,869,2026-07-06,gemm-fwd,small NT n128 retune (exclude 3 NT shapes),small,PROMOTED,mode2 +56.46/+55.62 80/80; old-minus-default +53.36/+44.85; score 3356.6 vs 1888.5 (1.78x),commit 0de64db; n128 26->2
results/AGENT-COORDINATION-ARCHIVE-20260707.md,896,2026-07-06,gemm-dx,small MLP dX n128 row-family gate,small,PROMOTED,old-minus-default +39.22/+33.17 80/80; score 3373.2 vs 1904.9 (1.77x),commit b6d0b7f; excludes 3 exact NN shapes
results/AGENT-COORDINATION-ARCHIVE-20260707.md,922,2026-07-06,gemm-dx,small post-4W NN n128 retune,small,PROMOTED,old-minus-default +28.67/+28.40 (78/80; 77/80); score 3392.1 vs 1896.8 (1.79x),commit 1f38947; 16 dX rows to m64n64
results/AGENT-COORDINATION-ARCHIVE-20260707.md,948,2026-07-06,tma-smem,small MK_GEMM_MBAR_RING=0 A/B @c75ad43,small,NO-GO,old-minus-default +38.03 (62/80)/+44.38 (79/80),keep mbar ring default
results/AGENT-COORDINATION-ARCHIVE-20260707.md,964,2026-07-06,scheduling,small COLD_CAP re-sweep @f66c432,small,NO-GO,cap48-minus-cap64 +15.09 then -1.02 order flip,keep cap48
results/AGENT-COORDINATION-ARCHIVE-20260707.md,979,2026-07-06,rowop,nano SWIGLU_BWD_4W A/B,nano,NO-GO,+10.51 (72/80) then flips -5.34 (18/80),keep nano on old op
results/AGENT-COORDINATION-ARCHIVE-20260707.md,989,2026-07-06,rowop,small SwiGLU cache-off with 4W,small,PROMOTED,cache-off +25.68/+22.70 (78/80); vs full old +156.70/+148.88 80/80; score 3425.9 vs 1916.7 (1.79x),commit ab4ffde
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1005,2026-07-06,rowop,small SWIGLU_BWD_4W route,small,PROMOTED,+132.27/+121.23 80/80; promoted +126.06/+133.02 80/80; score 3446.7 vs 1890.7,commit 766584d
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1020,2026-07-06,measurement,post-80d0053 profile/score refresh,nano+small,MEASUREMENT,nano 927.0 vs 634.8 (1.46x); small 3576.2 vs 1903.9 (1.88x); small leaders GEMMNN 419.3/ATTN_DKV 409.1,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1036,2026-07-06,rowop,qwen SWIGLU_BWD_4W route,qwen4b-l1,PROMOTED,old2w-minus-default +355.97/+342.80 (48/48; 47/48),commit 80d0053
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1052,2026-07-06,measurement,qwen profile refresh @c399ae3,qwen4b-l1,MEASUREMENT,total 9169.1us; head-dX 2899.3; lm-head 2480.9; SWIGLU_BWD_2W 235.8; CE_BWD 291.3,no-go history rules out CE fusion/H2560 RMS/n256 split-K/qknorm split-DW
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1062,2026-07-06,rowop,qwen SWIGLU cache-sig recheck,qwen4b-l1,NO-GO,default-minus-cache -200.94/-194.00 cache 1/48; 0/48,keep qwen 2W without sigmoid cache
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1075,2026-07-06,attention,combine-nolocal scratch claim,s8192,SUPERSEDED,w[8] local-LD classified shape-scoped latency-hidden optional hygiene,no worktree created; no source change from stale claim
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1080,2026-07-06,attention,s8192 NCU local-LD source attribution,s8192,MEASUREMENT,786432 pure local-load sectors = op_attn_combine float w[8] (attention.cuh:296) via two LDL; not n256 GEMM,opened combine-nolocal probe (later superseded)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1092,2026-07-06,measurement,current-head re-anchor @557ba5f,nano+small,MEASUREMENT,nano 916.8 vs 633.7 (1.45x); small 3386.4 vs 1899.4 (1.78x); small ATTN_DKV 400.4/MLP dX 370.8,next lane should be op-body mechanism not route-knob recheck
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1112,2026-07-06,fusion,qkv fwd qk-norm/RoPE unfuse scratch,s128+s256,NO-GO,fused-minus-unfused S128 -16.69/-16.29 (unfused 2/200; 0/200); S256 -9.18/-9.74,keep qk-norm/RoPE fused into qkv fwd epilogue
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1131,2026-07-06,lm-head,s256 lm-head n128-off retune,s256,PROMOTED,+6.56/+5.90 (145/160; 139/160); promoted +6.93/+5.94 old-minus-default,commit 557ba5f; wgmma_n128_ok gate by M
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1156,2026-07-06,lm-head,splitK separate-reduce head-dX scratch,small,NO-GO,local head-dX GEMM 186.6->113.0us (+44.8 reducer) but full-step target64 shrank to +1.84/+1.38; target128 -6.30/-7.74,keep 32-tile n128 fp32/no-atomic; OP_SPLITK_REDUCE_F32 not landed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1185,2026-07-06,lm-head,small head-dX n128 split64 retune,small,NO-GO,broad +23.42 but focused +6.00/+4.69 and pair-order only +1.70/+3.84,keep no-atomic default; separate-reduce is the real follow-up
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1201,2026-07-06,rowop,small RMSNorm dX H512 exact-body probe,small,NO-GO,bucket 150.1->140.2us but step +1.60 then -7.25; pair-order -2.67/-1.04,keep generic two-row dX body; no source landed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1216,2026-07-06,rowop,qwen SwiGLU cache-sig composition recheck,qwen4b-l1,NO-GO,default-minus-cache -208.9/-200.7 cache 0/40 both orders,keep no-cache SWIGLU_BWD_2W
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1226,2026-07-06,qwen,n256 N-major resweep,qwen4b-l1,NO-GO,M-major loses -70.3/-65.7 (6/80 pooled),keep bit26 default on
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1235,2026-07-06,scheduling,qwen scheduler retune (cold-cap+idle),qwen4b-l1,NO-GO,cap96 +112.4us; smaller caps +1.36-5.27ms; idle32 confirmation collapsed to -2.3us (71/128),keep cold_cap=0 and default idle polling
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1246,2026-07-06,gemm-dw,qwen n256 Drow direct-store vs atomic,qwen4b-l1,NO-GO,+13.5 (14/16) then +10.4 (9/16) mixed; Drow span 245.7->244.3us,do not add bit27/MK_WGMMA_N256_DROW_STORE
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1258,2026-07-06,gemm-dw,qwen D128 fused dOatt/Drow n256 route,qwen4b-l1,PROMOTED,old-minus-new +120.2 (16/16)/+140.3 (15/16); tiles 512->128,commit 0caeeb7
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1271,2026-07-06,gemm-dx,qwen qkv dX n256 bf16 route,qwen4b-l1,PROMOTED,old-minus-new +25.6 (13/16)/+31.5 (15/16); tiles 160->80,commit 68119b9
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1286,2026-07-06,gemm-dx,qwen MLP dX n256 bf16 route,qwen4b-l1,PROMOTED,old-minus-new +98.7 median/+91.7 mean 16/16; tiles 608/160->304/80,commit 6ae088f
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1299,2026-07-06,rowop,qwen QKNORM_ROPE_BWD split-DW,qwen4b-l1,NO-GO,old 9536.51 vs split 9602.48 (-69.06 median); split 0/32; qk_tiles 128->256,no main source landed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1308,2026-07-06,rowop,D128 QKNORM_ROPE_BWD cached-pair path,qwen4b-l1,PROMOTED,old-minus-new +28.7 median/+38.3 mean (20/24); bucket 304.5->281.2us,MK_QKBWD_D128_CACHE=1 guarded S1024/nq32/nkv8/D128
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1326,2026-07-06,gemm-dx,small MLP dX m64n256 NN bf16,small,NO-GO,n256 loses +209.79/+251.15 0/80 both orders,no main source landed; scratch removed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1341,2026-07-06,attention-dq,D128 rowsplit dQ register-A dS-feed,qwen4b-l1,PROMOTED,op 103.65->99.62us; parity max_rel 2.52e-03; resource unchanged,commit fa58afb
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1356,2026-07-06,attention-dq,D128 dQ split-wait variant,qwen4b-l1,NO-GO,99.01 vs 99.62us then repeat only -0.44us,correct but too small/noisy to promote
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1364,2026-07-06,attention-dkv,D128 dKV S^T register-feed in-model port,qwen4b-l1,NO-GO,ST +10.32 (0/80); compiling ST body adds +6.89us old-path tax; STACK df 32->160 ws 64->336,standalone win did not transfer
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1376,2026-07-06,attention-dkv,D128 dKV C-chunk sweep,qwen4b-l1,NO-GO,C1 196.06us best; C2 +10.16 (0/120); C3-8 +44..+191,keep C=1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1382,2026-07-06,attention-dq,D128 dQ rowsplit C-chunk sweep,qwen4b-l1,NO-GO,C1 102.99us best; C2 +97.23 (0/120); C3-8 +151..+405,direct-store fast path is C=1-only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1389,2026-07-06,executor,544640f spill-blame correction-in-progress,all,NOTE,stage3 impls already __noinline__ (frame costs nothing unless op routes); deltas non-uniform S8192 -38 vs small +117..+202,hold on fix recipe pending pre-stage3 control
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1398,2026-07-06,executor,spill-fix probe batch,qwen+small+d128,NO-GO,stage3only/stage2only resusage unchanged (144/80/176); trampoline 3670.5 vs 3660.4 rejected; n256 compile-out probes ptxas-shape-sensitive,treat STACK as diagnostic only not promotion gate
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1412,2026-07-06,executor,n256 shape-specialized build variant,small,NO-GO,no-n256 3654.3 vs control 3660.8 noise; STACK 176->192 worse,not a runtime-certified fix; reverted
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1430,2026-07-06,executor,dispatch-spill bisect,all,MEASUREMENT,culprit 544640f STACK 32->208 (dac7321=48; b54d322/f54b4dd/06f3101=32),per P1/P6 blamed for +2-9% tax; later corrected to diagnostic-only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1444,2026-07-06,executor,dispatch-spill regression alert,all,MEASUREMENT,STACK 48->176; certified scoreboard +2-7% high (nano +22 small +200 S3072 +150 S4096 +230),from 0010Z-0345Z commits; later corrected (stack diagnostic only)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1461,2026-07-06,fusion,epilogue-fusion design spec,all,SCAFFOLD,rmsnorm_fwd dissolution via two algebraic folds; per site -1 rowop -1 hop -S*H round-trip; chain 76->~59 projected,spec results/epilogue-fusion-spec-2853e0de.md; unclaimed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1479,2026-07-06,rowop,rowop long-S gap decomposition,s4096,LAW,rowop bodies at baseline parity (~260us/model-pass vs triton 254; rms_dx ~6us/instr); 540-1330us bucket = span stretch from co-scheduling,lever = fusing rowops into gemm epilogues; QKNORM bwd S8192 body-bound ~91us/instr
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1492,2026-07-06,attention,D128 banding analysis,qwen4b-l1,CLOSED-BY-ANALYSIS,qwen nq=32 emits 512-2048 tiles; work-stealing already smooths triangle,dropped without GPU spend; banding needs low-head makespan-bound regime
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1509,2026-07-06,executor,D128 DQ-topology/interpreter-gap investigation,qwen4b-l1,NO-GO,standalone additive gap fwd +98/dq +128/dkv +99us; claim=1 recovers -48/-75/-85 standalone; in-model wash -9.1/+5.4,claim-1 knob committed default-off (b806a01); absorption 6th strike; qwen ~11.1ms from 22.1
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1527,2026-07-06,attention-fwd,FA4-B fwd KV-widening in-model,s4096+s512+s1024,NO-GO,banded S4096 +18.7/+17.4; S512 -6.5/-1.9 under bar; S1024 +3.3/+7.7; ~0.021 grad-rel caveat,NO-GO by absorption; op kept default-off on megakernel-attn-w128
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1546,2026-07-06,attention,D128 WGMMA attention trio merge,qwen4b-l1,PROMOTED,vs forced-old WMMA +1885.4/+1627.5us (old 0/12); parity 0.0086,commits 1566e51..dac7321 default-on D==128 S%64==0; 120KB carveout; smem attribute re-config fix bundled
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1559,2026-07-06,executor,D128 integration plan + launch-layer bug fix,qwen4b-l1,NOTE,trio measured -1673/-1776us (12/12); fixed process-lifetime cudaFuncSetAttribute caching in 4 executor runners (mixed-carveout launches broke),ws mode offsets ops by 256B
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1596,2026-07-05,lm-head,qwen post-dwtn route interaction resweep,qwen4b-l1,NO-GO,head-dX n256 forced-old +504.5 (16/16); lm-head forced-old +862.0 (16/16),keep both n256 routes after dW n256 promotion
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1617,2026-07-05,gemm-dw,qwen vocab-dW TN n256 route,qwen4b-l1,PROMOTED,old 16151.7 vs new 12973.8us (+3178.0 old-minus-new); standalone vocab dW n64 3480.7/n128 2505.5/n256 2112.3,commit 717f710; five dW rows tiles quartered
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1636,2026-07-05,scheduling,qwen COLD_CAP resweep post-dW-noatomic,qwen4b-l1,NO-GO,cap4/8/16 catastrophic; cap64 +2661.7; cap96 +1082.2; cap128 +50.2 (1/12),keep default_cold_cap=0
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1642,2026-07-05,attention-fwd,D128 fwd port milestone,qwen4b-l1,MEASUREMENT,-903.2/-935.1us (12/12 both orders); worst grad rel 0.008648,redundant-S + split-D-halves design holds; folded into trio merge
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1668,2026-07-05,gemm-dw,qwen dW no-atomic sk1,qwen4b-l1,PROMOTED,old 19017.4 vs new 15897.3us (+3120.0); dW row now off-path 236.6us,commit e15b6b9; five dW rows flags 169->137
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1707,2026-07-05,lm-head,qwen head-dX wide-N n256,qwen4b-l1,PROMOTED,old 19587.0 vs new 18990.3us (+596.7); standalone n128 2740.9 vs n256 2126.1 (374.7 TF),commit 3023519; fat_gemm_nn_probe.py committed
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1727,2026-07-05,measurement,qwen post-headroutes profile,qwen4b-l1,MEASUREMENT,total 19631.9us; head-dX 3609.3; lm-head 2697.2; ATTN_FWD 1833.7; ATTN_DQ 1461.2,
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1740,2026-07-05,lm-head,qwen head-dX n128 fp32/no-atomic,qwen4b-l1,PROMOTED,split 21235.3->19674.4; f32-noatomic 21204.1->19576.0 better; promoted old-minus-new +1518.5,commit 2c652f1; exact qwen tuple only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1762,2026-07-05,lm-head,qwen lm-head direct 128x256 n256,qwen4b-l1,PROMOTED,old 22051.4 vs new 21142.3 (+909.1); lm-head span 3528.9->2675.1; total 21991.8->21062.8,commit b5da0ac; staged n256 still blocked by 160KB coop smem
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1791,2026-07-05,lm-head,lm-head fat-tile m64n256 standalone probe,small+s8192+qwen,NO-GO,staged wins standalone (73.9->60.7; 182.8->154.6; qwen 2791.5->2459.0) but 160KB coop launch fails; direct broad small neutral/S8192 182.8->193.2 regressed; qwen direct 2784.7->2490.9 promising,no general default route; qwen-specific direct-store follow-up flagged (later promoted b5da0ac)
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1822,2026-07-05,measurement,qwen4b post-coldcap profile,qwen4b-l1,MEASUREMENT,total 22118.5us with cold_cap=0; ATTN_FWD 1813.3; ATTN_DQ 1503.3,extends into generic dQ Cq sweep
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1829,2026-07-05,attention-dq,qwen generic D128 dQ Cq1 gate,qwen4b-l1,PROMOTED,Cq1 21948.0/21935.2 best vs old Cq4 22089.3/22100.9; promoted +85.1/+94.8 old-minus-new,exact (2560;1024;32;8;128) gate; fallback cleanup only
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1852,2026-07-05,gemm-dx,SW128 deep-K GEMM probe (S6/S8/S9),longdx shapes,NO-GO,standalone S8 187.4->175.8/44.3->42.9/43.1->41.5us; head-dX slices -1.9..-4.6; 208KB smem page tax nano +6.1 small +42.2 S8192 +94.9,no default route/no megakernel integration
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1872,2026-07-05,scheduling,giant-L1 uncapped cold-cap,qwen4b-l1,PROMOTED,cap48 29432.9 vs cap0 22094.0us; confirm both orders; low caps starve sinks (cap4 215.8ms),_cold_cap()=0 for L==1 H>=1024 V>=32768; other defaults unchanged
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1885,2026-07-05,attention,s8192 post-specialization resweep,s8192,NO-GO,T36 +102; T44 +11/+23; fwd T56 +26; fwd T72 +413 cliff; idle64 neutral,all defaults hold; spans changed optima did not
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1896,2026-07-05,infra-process,knob consolidation refactor,all,PROMOTED,~12 per-shape gates into one model.py table; route-identical on all 11 gauntlet shapes (instr+claim+crit+deps+cold-cap hashes),commit 56ab960; re-verify with route_snapshot.py after rebases
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1910,2026-07-05,attention-fwd,combine-R sweep,s4096+s8192,NO-GO,R=4 loses; R=16 order-mixed neutral,R=8 confirmed; knob-consol worktree ready
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1925,2026-07-05,gemm-fwd,post-band n128 recheck long-S,s4096+s8192,NO-GO,S4096 +27..+132; S8192 +72..+423 when touched; no flips,all n128 routing defaults confirmed load-bearing
results/AGENT-COORDINATION-ARCHIVE-20260707.md,1930,2026-07-05,attention-fwd,s8192 fwd-band + idle retune batch,s8192,NO-GO,T48 +105/+90; T56 +41/+28; T72 +399/+387; T80 +510/+476; idle16/64 wash,T64 sharp optimum; local GPU lane contaminated 1.6-1.8x (invisible 62GB tenant) readings discarded
