trial_id,trial,category,shape,verdict,delta,landed,era,source_file
T035,fa4b w128 fwd in-model,attention-fwd,S512-4096,NO-GO,absorbed (5th strike),no,Jul7,inventory/02-notes2-p4b-to-jul8.md
T036,mbar-ring generic in-model port,gemm-dx,nano/small,NO-GO,+16/+51,no,Jul7,inventory/02-notes2-p4b-to-jul8.md
T037,gemm mbar-ring gated long-D64,gemm-dx,small/S2048-8192,PROMOTED,small -76 s8192 -150,yes,Jul6-7,inventory/04-archive0707-p2-jul6-7.md
T038,small head-dX SKR skr=2,gemm-dx,small,PROMOTED,-115/-107 40/40,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T039,nano/deep head-dX SKR skr=4,gemm-dx,nano/deep,PROMOTED,-10/-14 -32/-31,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T040,s3072/s4096 head-dX SKR-2,gemm-dx,s3072/s4096,PROMOTED,-118/-120 -90/-75,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T041,qwen head-dX SKR2,gemm-dx,qwen,NO-GO,+1160/+1142,no,Jul7,inventory/05-archive0707-p3-jul7.md
T042,gate_up per-layer SKR,gemm-dx,small,NO-GO,+83,no,Jul7,inventory/02-notes2-p4b-to-jul8.md
T043,small lm_head n256 post-SKR resweep,lm-head,small,PROMOTED,-33/-22 40/40 (flip),yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T044,QKNORM per-warp dw partials,rowop,small/S4096/S8192,PROMOTED,-21/-17/-43..-66,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T045,qwen n256 NN TMA-feed,tma-smem,qwen,PROMOTED,-340/-335 16/16,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T046,qwen n256 TN TMA-feed,tma-smem,qwen,PROMOTED,-294/-333 in-model,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T047,qwen L2 GEMM cluster extension,qwen,qwen-l2,PROMOTED,-1530/-1509 12/12,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T048,qwen L2 head-dX n256,gemm-dx,qwen-l2,PROMOTED,-2152/-2149,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T049,D64 ring TMA feed,tma-smem,S3072-8192,PROMOTED,-23..-31 each,yes,Jul7,inventory/02-notes2-p4b-to-jul8.md
T050,dq cross-stage ping-pong,attention-dq,S3072-8192,NO-GO,+3/+13/+30 scales with S,no,Jul7,inventory/02-notes2-p4b-to-jul8.md
T051,producer-df pdf executor long-S/qwen,executor,qwen/s2048-8192,PROMOTED,qwen-l1 -1056/-1127 l2 -1511 s8192 -165,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T052,pdf executor at short-S,executor,small/nano/deep,NO-GO,small +142 nano +37 deep +76,no,Jul7,inventory/05-archive0707-p3-jul7.md
T053,MK_DF_MAXNREG=240 flat cap,executor,qwen,NO-GO,+30/+44,no,Jul7,inventory/05-archive0707-p3-jul7.md
T054,D64 pdf-feed S3072,executor,s3072,PROMOTED,-18/-23,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T055,D64 pdf-feed S8192,executor,s8192,NO-GO,+112/+68,no,Jul7,inventory/05-archive0707-p3-jul7.md
T056,attention PDF-feed WG2 cp.async dq,attention-dq,s8192,PROMOTED,-60/-61 cert,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T057,D64 dQ RS-feed S4096/S8192,attention-dq,s4096/s8192,PROMOTED,-34/-29 -57/-66,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T058,D64 dQ RS-feed S2048/S3072,attention-dq,s2048/s3072,NO-GO,order-sensitive/weak,no,Jul7,inventory/05-archive0707-p3-jul7.md
T059,dQ fp32-P S8192/S3072,attention-dq,s8192/s3072,PROMOTED,-63/-67 -10/-15,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T060,dQ bulk-reduce drain S4096,attention-dq,s4096,PROMOTED,-41/-33 40/40,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T061,dQ bulk-reduce drain S8192,attention-dq,s8192,REFUTED,+55/+42 then +98/+100 post-dW-SK1,no,Jul7-8,inventory/05-archive0707-p3-jul7.md
T062,exp2 prebias S8192 post-dq-feed,attention-fwd,s8192,PROMOTED,+58 -> -50/-64 (flip),yes,Jul7,inventory/05-archive0707-p3-jul7.md
T063,fwd defer-rsum,attention-fwd,all D64,PROMOTED,s8192 -37/-47,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T064,EXPFOLD scale-fold,attention-fwd,s8192,NO-GO,+47/+43 free co-issue,no,Jul7,inventory/05-archive0707-p3-jul7.md
T065,dkv LSE/Drow smem prefetch,attention-dkv,S8192,PROMOTED,-55..-64,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T066,dS quad-store,attention-dkv,S8192,NO-GO,+924/+912,no,Jul7,inventory/05-archive0707-p3-jul7.md
T067,DKV RS/S^T/QPAIR/SPLITWAIT family,attention-dkv,s8192,REFUTED,+85..+105 at identical resources,no,Jul8,inventory/06-archive0708-jul8.md
T068,one-pass model integration,onepass,S4096/S8192,NO-GO,+413/+421 +1312/+1327,no,Jul7,inventory/05-archive0707-p3-jul7.md
T069,one-pass bulk-drain model,onepass,S4096/S8192,NO-GO,+1087/+4476,no,Jul7,inventory/05-archive0707-p3-jul7.md
T070,monolithic one-pass PDR,onepass,s8192,NO-GO,+1915/+1886 best +1249,no,Jul7,inventory/05-archive0707-p3-jul7.md
T071,banded one-pass PDR,onepass,s8192,NO-GO,+428/+383,no,Jul7,inventory/05-archive0707-p3-jul7.md
T072,dual-feed-drain family (5 slices),attention,s8192,NO-GO,+24..+247 one deadlock,no,Jul7-8,inventory/05-archive0707-p3-jul7.md
T073,qwen CE reducer lanes (7 variants),ce,qwen,NO-GO,up to +604,no,Jul7-8,inventory/06-archive0708-jul8.md
T074,NT floor broken in-model (EVICT_FIRST n256 TMA C-store),lm-head,s8192/s2048-4096,PROMOTED,s8192 -101/-66,yes,Jul8,inventory/06-archive0708-jul8.md
T075,n256 TMA C-store small,lm-head,small,PROMOTED,-13/-17,yes,Jul8,inventory/06-archive0708-jul8.md
T076,n256 TMA C-store s1024,lm-head,s1024,NO-GO,order-mixed,no,Jul8,inventory/06-archive0708-jul8.md
T077,dW SK1 no-atomic mid/long-S,gemm-dw,deep/small/s2048-8192,PROMOTED,small -262 s2048 -39,yes,Jul8,inventory/06-archive0708-jul8.md
T078,mbi microbatch interleave n-sweep,itax-dag,short-S,PROMOTED,s128 1.47/1.75/1.89x n2/3/4,yes,Jul8,inventory/06-archive0708-jul8.md
T079,mbi AXPY tail n=2,itax-dag,deep,PROMOTED,-82us,yes,Jul8,inventory/06-archive0708-jul8.md
T080,mbi AXPY tail n=3,itax-dag,deep,REFUTED,+249,no,Jul8,inventory/06-archive0708-jul8.md
T081,short-GEMM N64 fast-dispatch,gemm-fwd,s128/s256/nano/deep,PROMOTED,deep +57 forced-old; s1024 gated OFF,yes,Jul8,inventory/06-archive0708-jul8.md
T082,wgmma-inline rounds 1-3,executor,pdf shapes,NO-GO,round2 s8192 +503; round3 still +442,no,Jul8,inventory/06-archive0708-jul8.md
T083,pdf shell-smem qwen-l1,executor,qwen-l1,PROMOTED,-28/-32,yes,Jul8,inventory/06-archive0708-jul8.md
T084,pdf shell-smem s8192,executor,s8192,NO-GO,+18/+29,no,Jul8,inventory/06-archive0708-jul8.md
T085,s1024 body grind (~15 lanes),mixed,s1024,NO-GO,all order-split or positive,no,Jul8,inventory/06-archive0708-jul8.md
T086,s1024 promotions chain (9 gates),mixed,s1024,PROMOTED,each -2..-24,yes,Jul8,inventory/06-archive0708-jul8.md
T087,S8192 ready-order scheduler family (5 lanes),scheduling,s8192,NO-GO,wait relocates; hot-fair wait -1427 span +1629,no,Jul8-9,inventory/08-live-board-jul8-9.md
T088,small DQ+DKV precision composition,precision,small,PROMOTED,-33/-31 40/40,yes,Jul9,inventory/08-live-board-jul8-9.md
T089,small DKV fp32-P isolated,precision,small,NO-GO,+6.8 (path swaps to DQ),no,Jul9,inventory/08-live-board-jul8-9.md
T090,qkrope register-epilogue,gemm-fwd,short-S,NO-GO,sibling-positive shared-wash,no,Jul9,inventory/08-live-board-jul8-9.md
T091,QKRoPE-BWD fold body,fusion,small,NO-GO,+811; smem variant +88,no,Jul9,inventory/08-live-board-jul8-9.md
T092,RMS-fwd-fold deep/small,fusion,deep/small,PROMOTED,deep -22/-25 small -46/-46,parked-then-landed,Jul9,inventory/08-live-board-jul8-9.md
T093,RMS-fwd-fold nano/s128/s256/s1024,fusion,short-S,NO-GO,nano +9.9/+8.4,no,Jul9,inventory/08-live-board-jul8-9.md
T094,boundary-node replay bridges (6),itax-dag,H256/n256,NO-GO,stack cliffs; cadence max=1,no,Jul9,inventory/08-live-board-jul8-9.md
T095,qwen NT source respelling family (5+),qwen,qwen,NO-GO,SASS byte-identical or singleton persists,no,Jul8-9,inventory/08-live-board-jul8-9.md
T096,qwen head-dX PDF-only,qwen,qwen-l2,PROMOTED,-27..-37,parked,Jul8,inventory/06-archive0708-jul8.md
T097,qwen NT supertile PDF-only prune,qwen,qwen l1/l2,PROMOTED,L1 -108/-69 L2 -72/-85,yes,Jul9,inventory/08-live-board-jul8-9.md
T098,qwen NT postinit-nosync L2,qwen,qwen-l2,PROMOTED,-43/-25,yes,Jul9,inventory/08-live-board-jul8-9.md
T099,s1024 FWD score-mask split,attention-fwd,s1024,PROMOTED,-2.9/-5.6 x80,yes,Jul8,inventory/08-live-board-jul8-9.md
T100,elected-TMA DQ staging s2048/s3072,tma-smem,s2048/s3072,PROMOTED,-14/-3 -7/-9,parked,Jul9,inventory/08-live-board-jul8-9.md
T101,elected-TMA DQ s8192 kind-5 producer,tma-smem,s8192,NO-GO,+0.8/+16 (displacement),no,Jul9,inventory/08-live-board-jul8-9.md
T102,DSMEM-fed GMMA,tma-smem,probe,NO-GO,descriptor cannot carry cluster rank,no,Jul6,inventory/02-notes2-p4b-to-jul8.md
T103,paired-M TMA multicast production,tma-smem,qwen-shape,NO-GO,44.1 vs 46.7us,no,Jul6,inventory/02-notes2-p4b-to-jul8.md
T104,sparse embedding-grad clear qwen,rowop,qwen,PROMOTED,+259/+234,yes,Jul6,inventory/02-notes2-p4b-to-jul8.md
T105,sparse embed s1024 (x4 retries),rowop,s1024,NO-GO,order-mixed every time,no,Jul8,inventory/06-archive0708-jul8.md
T106,CE_BWD label fixup gated,ce,qwen/s8192/small,PROMOTED,-26/-45/-3; mid-S NO-GO,yes,Jul6-7,inventory/02-notes2-p4b-to-jul8.md
T107,noinline D128+D64 attention trios,executor,all,PROMOTED,local-LD 5.3M->0; s8192 -502,yes,Jul6,inventory/02-notes2-p4b-to-jul8.md
T108,epifuse phase1 rmsnorm dissolution,fusion,MLP,NO-GO,critical_path 144->144,no,Jul6,inventory/02-notes2-p4b-to-jul8.md
T109,epifuse phase2 xn2 deletion,fusion,MLP,NO-GO,+16,no,Jul7,inventory/02-notes2-p4b-to-jul8.md
T110,partials-fed RMSNORM_BWD_DX bit16,fusion,small/S4096,NO-GO,bucket -29 but dX gemm +40,no,Jul7,inventory/02-notes2-p4b-to-jul8.md
T111,MK_ACCT_RELEASE_ATOM fence weakening,scheduling,deep,NO-GO-CORRECTNESS,grad rel 1041/5730,no,Jul7,inventory/05-archive0707-p3-jul7.md
T112,claim quantum coarsening,scheduling,s8192/qwen/s128,NO-GO,claim64 +1202..+3359 claim16 +17797,no,Jul7-8,inventory/05-archive0707-p3-jul7.md
T113,fast-inv output reciprocal,precision,all,NO-GO-CORRECTNESS,40-step loss 9.05->7.15,no,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T114,exp2/fastlog/FMA family gated,precision,per-shape,PROMOTED,-8..-67 per shape,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T115,SwiGLU-BWD fold nano/deep/small,fusion,nano/deep/small,PROMOTED,deep -26.5/-27.6 small -82.6/-86.2 nano -20.0/-16.6,parked-then-landed,Jul9-post,../dagdepth-swbf-0ba235d.md
T116,CE fwd warp-per-row (warprow),ce,s2048-s8192,PROMOTED,s8192 -94/-105 s4096 -39 s3072 -39 s2048 -28,yes(3b5701e),Jul9-post,../../AGENT-COORDINATION.md
T117,tail-barrier elision,attention,small,NO-GO,+186 (barrier was data dep),no,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T118,cold-ring demotion of attention ops,scheduling,small/long-S,NO-GO,DQ demote +437; DKV +41,no,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T119,qwen L2 hot-leaf trio (embed/WGU-dW/lm-dW),scheduling,qwen-l2,PROMOTED,-148..-272 each,yes,Jul7-8,inventory/06-archive0708-jul8.md
T120,qkv-v slot deps,scheduling,S3072/S8192,PROMOTED,-27/-37 -13/-16,yes,Jul7,inventory/05-archive0707-p3-jul7.md
T121,phase-adaptive cold-release,scheduling,long-S,NO-GO,wait 1046->543 but span +285,no,Jul7,inventory/05-archive0707-p3-jul7.md
T122,deep SW128 stages / fat-tile smem ports,tma-smem,nano-s8192,NO-GO,208KB page +6..+95; 160KB launch fail,no,P4b-Jul6,inventory/01-notes1-v0-to-p4b.md
T123,D128 trio 120KB carveout funding,tma-smem,qwen,PROMOTED,in-clause page funding,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
T124,attention split-entry SASS probe,tma-smem,H256 D64,REFUTED,CALL=0 clone entry still {1:12},n/a,Jul9-post,../attn-splitentry-sass-0ba235d-refuted.md
T125,band-preserving one-pass under pdf s4096,onepass,s4096,NO-GO,cell arithmetic: +1087 base; 129KB>100KB page,no,Jul9-post,../onepass-band-pdf-audit-0ba235d.md
T126,drow zero-fill skip,rowop,S256/S512 vs small,PROMOTED,narrow gate; small prefers fill,yes,Jul5-6,inventory/03-archive0707-p1-jul5-6.md
