id,domain,name,status,precision,predicts_n,true_counterexamples,refinement,info_gain_probe
M2,memory,l2-free-multicast,stable-narrow,high 4/4,4,none,"free READ-multicast under claim-order co-residency; not a free write-buffer (store-EVICT_FIRST wins; load-EVICT_FIRST harms)","force claim-order dispersion; measure DRAM re-fetch -> co-residency horizon"
M3,memory,boundary-removal-beats-overlap,stable-with-scope,high ~15/18,15,"tail-barrier elision +186 (barrier was data dep not seam); pdf producer won (outside regime: feed-bound rows; taxes latency-bound shapes as predicted)","boundary deletion pays iff boundary is a sync convention and freed span not absorbed; overlap machinery pays only with decoupled issue slot + feed-bound stages","mbar-ring sweep across shape ladder recording (K/stage; occupancy) crossover"
M4,memory,wave-filling-economics,stable-with-amendment,high ~12/14,12,"qwen head-dX SKR +1160 at giant K (sub-wave SMs already recycled into sink pool)","filling counts ALL schedulable work; SKR = one giant sub-wave long-K GEMM x one reduce x EXCLUSIVE machine; K/CTAs>=~90; fat tiles >=~132 CTAs","sweep off-path sink mass at fixed shape; measure SKR win decay -> exclusivity coefficient"
M5,memory,feed-k-gating,moving,medium ~7/10 (K alone),7,"s8192 WG2 cp.async dq-feed promoted (not feed-hostile); SW128+TMA s8192 loss was displacement of incumbent feed","feed pays iff bytes/stage amortize issue overhead AND consumer stalls on that operand AND no incumbent displacement","2-feature separability test (bytes/stage; consumer wait) over all ledger feed trials"
M6,memory,offpath-not-free,stable,high 9/9,9,none,"split every off-path change into delta-span (absorbed; worthless) and delta-issue-pressure (real; signed both ways)","per-SM issue-slot attribution before/after TN dW TMA at qwen-l1 + synthetic re-injection"
M7,meta,floors-mechanism-scoped,stable-meta,high 5/5 fell + 4/4 held,8,"one-pass VERDICT re-validated 4 ways (attribution rotted; verdict held); survivorship caveat","classify floors mechanism-scoped (attackable; enumerate untested axes) vs conservation-scoped (durable)","RESOLVED for attention: split-entry probe refuted image partitioning (drain = conservation-scoped at ptxas 13.1; toolkit-bump gate stands — see C2); still LIVE for qwen NT via sidecar (C1)"
M9,memory,sibling-closure-composition,moving,medium 5-6+2 inverse,5,"qkrope register-epilogue sibling-positive -> shared wash; pdf+gates wash","knob sign is a property of the sibling-closure (DQ/DKV/S-dP group); single knob swaps which sibling is critical","2^3 knob lattice at s2048 predicted from single-knob path-swap telemetry"
M10,memory,sparsity-invariant,stable-narrow,high 4/4 + 5 correct refusals,4,none,"delete step-invariant support priced by (invariant bytes / step time) x path position; below absorption threshold unmeasurable","tabulate fill bytes vs win across shapes; test boundary shape"
P1,process,both-order-highrep-gate,stable,0 FP escapes; FN unmeasured,60,"none (FN side unpriced)","sub-6us at 40 reps is UNDECIDABLE not noise -> escalate 120-500 reps on the promotion-relevant pair","rerun ~15 archived sub-6us NO-GOs at 320+ reps -> FN rate of the noise gate"
P2,process,standalone-vs-in-model,stable,conversion <~50% both signs,15,none,"standalone = mechanism-feasibility prior; check 3 port-killers first (smem-page delta; target wait slack; residency/issue coupling)","paired (standalone;in-model) table for ~20 ports; test predictability"
P3,process,resweep,stable,flips concentrate in marginal stratum,12,"decisive verdicts (claim16 +17797; dS quad +924) never flipped; ~8 rollbacks confirmed defaults","scope resweeps to changed-resource neighborhood + previously-marginal verdicts","stratified resweep after next landing; flip rate vs original margin"
P4,process,baseline-honesty,stable,n=1 catastrophic + 4 supporting,5,none,"denominator AND ceiling honesty (SDPA 3-D bug; FA4 500TF folklore); enforce via periodic cert","baseline fingerprinting per cert (kernel-name set + TF-rate assertions)"
P5,process,sass-visibility-gate,one-way-valid,~9 cheap kills 0 false; 0-for-3 as GO signal,9,"visible-but-still-loses x3 (wgmma-inline rounds; spill/working set dominated)","invisible-in-SASS -> kill without timing; visible -> necessary never sufficient (drain mechanics split out into C1/C2)","standing: grep ptxas C7514/C7517 diagnostics every build; rerun attn_dq_bisect on every toolkit bump (see C2)"
P6,process,executor-regime,stable-with-split,5/5 coupled failed; 2/2 contract composed,7,"cluster launch + graphstep composed everywhere (contract-level)","split by value channel: issue/residency/wait-coupled = measure on target; launch/graph/algebraic = executor-invariant","WG2 dq feed under plain df at s8192 (feed value vs shell value)"
P7,process,exact-gating,stable-with-split,near-universal for wave/feed knobs,50,"codegen/image-level changes promote broadly (noinline; branch-free wgmma; defer-rsum; claim132)","gate granularity matches mechanism level; version-stamp every gate with structural epoch","gate-rot audit post-landings (11x flip value prices the sweep)"
P8,process,impossibility-rot,stable-meta,4/4 mechanism claims fell; 0 regime claims fell,4,"one-pass verdict held (attribution rotted); dozens of mechanism no-gos still stand (survivorship)","every NO-GO records mechanism attribution + unexplored axes; auto-reopen on new axis","sample 5 closed-forever verdicts against post-pdf/TMA axes -> residual rot rate"
P9,process,numerics-trajectory,stable-narrow,~5 catches 0 misleads,5,none,"40-step horizon unvalidated; composed precision surface never trajectory-tested as a whole","200-500-step sanity on full composed precision stack"
P10,process,contract-audit,stable,0 recurrence post-audit; all found reactively,10,none,"preventive per-integration-class checklists (epilogue/TMA/bulk-reduce/graph-capture)","run audit battery over the parked-ready lanes BEFORE landing"
C1,compiler,qwen-NT-image-composition-grouping,live,SASS-decisive (not yet timed),5,"none; runnable split pending (sidecar runnable_now=false)","qwen NT WGMMA issue grouping is a function of launched-image composition: removing unrelated fallback dispatch/op bodies recovers grouped issue (pruned max-run 8 hist{8:1} CALL=0 STACK=0 vs default {1:216}); source respelling within the full image is dead","sidecar/typed-boundary executor at the row-37 cutpoint: does grouped cadence buy TIME in a runnable split"
C2,compiler,attention-D64-descriptor-slot-drain,conservation-scoped@ptxas13.1,SASS-decisive; 4 escape classes refuted,4,"none","attention D64 WGMMA singleton drain is ptxas 13.1 descriptor-slot management (one UR quad time-shared across k-steps; heuristic not pressure; UR census 20/64): BODY-STRUCTURAL — CALL=0 image isolation still drains {1:12}; NOT the C1 mechanism; source escapes (respelling; chaining V5; value-pinning V6) and image isolation all refuted; drain's share of s8192 DQ wait UNKNOWN (one-way SASS law — do not assume)","STANDING GATE: rerun results/attn_dq_bisect_sass_0ba235d.py on every CUDA toolkit bump (~8min no GPU); if any variant groups go straight to parity+timing (V5 chain knob committed ready)"
