law_id,ref_id,role,expected_verdict,observed_verdict,source_file,source_line
L6,T109,confirm,NO-GO,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
L6,T110,confirm,NO-GO(cache-state),NO-GO,inventory/02-notes2-p4b-to-jul8.md,
L6,T092,confirm,PROMOTED(commutes+L-amortized),PROMOTED,inventory/08-live-board-jul8-9.md,
L6,T093,confirm,NO-GO(sink not amortized),NO-GO,inventory/08-live-board-jul8-9.md,
L6,T115,confirm,PROMOTED(zero-mass),PROMOTED,../dagdepth-swbf-0ba235d.md,
L6,T106,confirm,PROMOTED(work deletion),PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
L7,E016,confirm,floor>gap-short-S,confirmed,inventory/06-archive0708-jul8.md,
L7,T078,confirm,PROMOTED(added parallelism),PROMOTED,inventory/06-archive0708-jul8.md,
L7,T080,confirm,REFUTED(cold budget),REFUTED,inventory/06-archive0708-jul8.md,
L7,T081,confirm,PROMOTED(contract change),PROMOTED,inventory/06-archive0708-jul8.md,
L7,T085,confirm,NO-GO(op-local shaving),NO-GO,inventory/06-archive0708-jul8.md,
L7,E029,confirm,yield-tracks-starvation,confirmed,inventory/05-archive0707-p3-jul7.md,
L8,T092,confirm,PROMOTED-deep/small-only,PROMOTED,inventory/08-live-board-jul8-9.md,
L8,T093,confirm,NO-GO-short-S(sink mass),NO-GO,inventory/08-live-board-jul8-9.md,
L8,T115,probe,decides-sink-vs-starvation,zero-mass-pays-everywhere(law revised),../dagdepth-swbf-0ba235d.md,
L9,T029,confirm,PROMOTED,PROMOTED,inventory/03-archive0707-p1-jul5-6.md,
L9,T118,confirm,NO-GO(mislabeled sink),NO-GO,inventory/03-archive0707-p1-jul5-6.md,
L9,T119,boundary,WIN(leaf reclassification),PROMOTED,inventory/06-archive0708-jul8.md,
L9,T077,confirm,PROMOTED(issue-slot release),PROMOTED,inventory/06-archive0708-jul8.md,
L10,T009,confirm,NO-GO(no backlog),NO-GO,inventory/01-notes1-v0-to-p4b.md,
L10,T120,confirm,PROMOTED(backlog exists),PROMOTED,inventory/05-archive0707-p3-jul7.md,
R1,T012,confirm,NO-GO,NO-GO,inventory/01-notes1-v0-to-p4b.md,
R1,T013,confirm,NO-GO,NO-GO,inventory/01-notes1-v0-to-p4b.md,
R1,T034,confirm,REFUTED,REFUTED,inventory/04-archive0707-p2-jul6-7.md,
R1,T067,confirm,REFUTED(identical resources),REFUTED,inventory/06-archive0708-jul8.md,
R1,T024,confirm,REFUTED(traffic reduction),REFUTED,inventory/01-notes1-v0-to-p4b.md,
R1,T050,confirm,NO-GO,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
R2,T008,confirm,REFUTED,REFUTED,inventory/01-notes1-v0-to-p4b.md,
R2,T011,confirm,REFUTED,REFUTED,inventory/01-notes1-v0-to-p4b.md,
R2,T007,confirm,NO-GO(4-warp tax),NO-GO,inventory/01-notes1-v0-to-p4b.md,
R2,T053,confirm,NO-GO(flat cap),NO-GO,inventory/05-archive0707-p3-jul7.md,
R2,T051,boundary,second-pareto-point(region idiom),PROMOTED,inventory/05-archive0707-p3-jul7.md,
R3,T052,confirm,NO-GO(residency tax),NO-GO,inventory/05-archive0707-p3-jul7.md,
R3,T051,boundary,WIN(feed>dilution),PROMOTED,inventory/05-archive0707-p3-jul7.md,
R4,T122,confirm,NO-GO(page tax/cliff),NO-GO,inventory/01-notes1-v0-to-p4b.md,
R4,T123,boundary,WIN(funded page),PROMOTED,inventory/03-archive0707-p1-jul5-6.md,
R5,T015,confirm,PROMOTED,PROMOTED,inventory/01-notes1-v0-to-p4b.md,
R5,T107,confirm,PROMOTED,PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
R5,T082,counterexample,WIN-if-spill-was-cause,NO-GO,inventory/06-archive0708-jul8.md,
R5,E018,boundary,attribution-refined,superseded-in-part-by-E023/E024,inventory/06-archive0708-jul8.md,
R6,E017,confirm,withdraw-stack-metric,WITHDRAWN,inventory/04-archive0707-p2-jul6-7.md,
R6,T099,confirm,WIN-despite-SASS-growth,PROMOTED,inventory/08-live-board-jul8-9.md,
R6,T094,confirm,stack-moves-cadence-does-not,NO-GO,inventory/08-live-board-jul8-9.md,
R7,T031,confirm,NO-GO(broad),NO-GO,inventory/03-archive0707-p1-jul5-6.md,
R7,T038,confirm,PROMOTED(per-shape),PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
R7,T041,confirm,NO-GO(same mechanism other shape),NO-GO,inventory/05-archive0707-p3-jul7.md,
R7,T051,confirm,PROMOTED(executor as routing point),PROMOTED,inventory/05-archive0707-p3-jul7.md,
R7,T052,confirm,NO-GO(same executor other shapes),NO-GO,inventory/05-archive0707-p3-jul7.md,
R7,E011,confirm,uniform-rewrite-refuted,REFUTED,inventory/04-archive0707-p2-jul6-7.md,
R8,T082,confirm,NO-GO(working set real),NO-GO,inventory/06-archive0708-jul8.md,
R8,T067,confirm,REFUTED(rearrangement conserved),REFUTED,inventory/06-archive0708-jul8.md,
R8,T068,confirm,NO-GO(enlarged live set),NO-GO,inventory/05-archive0707-p3-jul7.md,
M1,T022,confirm,NO-GO(write-amp),NO-GO,inventory/01-notes1-v0-to-p4b.md,
M1,T027,confirm,PROMOTED(atomic removal),PROMOTED,inventory/03-archive0707-p1-jul5-6.md,
M1,T066,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
M1,T091,confirm,NO-GO(atomics),NO-GO,inventory/08-live-board-jul8-9.md,
M1,E014,counterexample,write-amp-was-cause,drain+context-artifact,inventory/05-archive0707-p3-jul7.md,
M1,T060,boundary,WIN(drain off tail),PROMOTED,inventory/05-archive0707-p3-jul7.md,
M1,T061,boundary,NO-GO(drain on tail),REFUTED,inventory/05-archive0707-p3-jul7.md,
M2,T103,confirm,NO-GO(L2 dedups),NO-GO,inventory/02-notes2-p4b-to-jul8.md,
M2,T102,confirm,NO-GO,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
M2,E031,confirm,neutral-enabler,neutral,inventory/02-notes2-p4b-to-jul8.md,
M2,T074,boundary,read-side-only,store-policy-wins,inventory/06-archive0708-jul8.md,
M3,T023,confirm,NO-GO(overlap machinery),NO-GO,inventory/01-notes1-v0-to-p4b.md,
M3,T072,confirm,NO-GO,NO-GO,inventory/05-archive0707-p3-jul7.md,
M3,T050,confirm,NO-GO,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
M3,T037,confirm,PROMOTED(boundary removal),PROMOTED,inventory/04-archive0707-p2-jul6-7.md,
M3,T063,confirm,PROMOTED,PROMOTED,inventory/05-archive0707-p3-jul7.md,
M3,T098,confirm,PROMOTED(redundant barrier),PROMOTED,inventory/08-live-board-jul8-9.md,
M3,T117,counterexample,WIN-if-boundary-was-seam,NO-GO(data dep),inventory/03-archive0707-p1-jul5-6.md,
M3,T051,boundary,overlap-wins-feed-bound-regime,PROMOTED,inventory/05-archive0707-p3-jul7.md,
M4,E007,confirm,wave-gate,confirmed,inventory/04-archive0707-p2-jul6-7.md,
M4,T031,confirm,NO-GO(sub-wave fat),NO-GO,inventory/03-archive0707-p1-jul5-6.md,
M4,T041,confirm,NO-GO(exclusivity amendment),NO-GO,inventory/05-archive0707-p3-jul7.md,
M4,T042,confirm,NO-GO(multi-reduce),NO-GO,inventory/02-notes2-p4b-to-jul8.md,
M4,T112,confirm,NO-GO(coarsening),NO-GO,inventory/05-archive0707-p3-jul7.md,
M5,T045,confirm,PROMOTED(long-K),PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
M5,T049,confirm,PROMOTED,PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
M5,T054,confirm,PROMOTED,PROMOTED,inventory/05-archive0707-p3-jul7.md,
M5,T055,confirm,NO-GO(short-K rows),NO-GO,inventory/05-archive0707-p3-jul7.md,
M5,T056,counterexample,NO-GO-if-K-only,PROMOTED(cp.async feed),inventory/05-archive0707-p3-jul7.md,
M5,T101,counterexample,WIN-if-K-only,NO-GO(displacement),inventory/08-live-board-jul8-9.md,
M6,T046,confirm,PROMOTED(issue-slot release),PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
M6,T077,confirm,PROMOTED,PROMOTED,inventory/06-archive0708-jul8.md,
M6,T061,confirm,strengthened-post-offpath-removal,REFUTED+,inventory/06-archive0708-jul8.md,
M6,T119,confirm,PROMOTED,PROMOTED,inventory/06-archive0708-jul8.md,
M6,T052,confirm,NO-GO(residency cost),NO-GO,inventory/05-archive0707-p3-jul7.md,
M7,E012,confirm,mechanism-floor-falls,fell(T074),inventory/04-archive0707-p2-jul6-7.md,
M7,T074,confirm,floor-broken,PROMOTED,inventory/06-archive0708-jul8.md,
M7,E014,confirm,impossibility-attribution-rots,confirmed,inventory/05-archive0707-p3-jul7.md,
M7,T038,confirm,rejected-forever-falls,PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
M7,E015,confirm,folklore-ceiling-corrected,confirmed,inventory/05-archive0707-p3-jul7.md,
M7,E016,confirm,conservation-floor-holds,held,inventory/06-archive0708-jul8.md,
M7,E024,confirm,conservation-floor-holds(toolchain@13.1),held,../attn-hgmma-drain-mechanism-0ba235d.md,10
M9,T088,confirm,PROMOTED(composition),PROMOTED,inventory/08-live-board-jul8-9.md,
M9,T089,confirm,NO-GO(isolated knob),NO-GO,inventory/08-live-board-jul8-9.md,
M9,T090,confirm,inverse(composition destroys),NO-GO,inventory/08-live-board-jul8-9.md,
M10,T104,confirm,PROMOTED(mass above threshold),PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
M10,T105,confirm,NO-GO(mass below threshold),NO-GO,inventory/06-archive0708-jul8.md,
P1,T085,confirm,order-split-killed,NO-GO,inventory/06-archive0708-jul8.md,
P1,T105,confirm,order-mixed-killed,NO-GO,inventory/06-archive0708-jul8.md,
P1,T090,confirm,shared-wash-killed,NO-GO,inventory/08-live-board-jul8-9.md,
P1,T076,confirm,order-mixed-killed,NO-GO,inventory/06-archive0708-jul8.md,
P2,E008,confirm,standalone-GO,in-model-NO-GO(T035),inventory/04-archive0707-p2-jul6-7.md,
P2,E009,confirm,standalone-GO,in-model-NO-GO-generic(T036)+gated-WIN(T037),inventory/04-archive0707-p2-jul6-7.md,
P2,E014,confirm,standalone-GO,in-model-NO-GO(T068),inventory/05-archive0707-p3-jul7.md,
P2,T046,confirm,standalone-neutral,in-model-WIN,inventory/02-notes2-p4b-to-jul8.md,
P2,E013,confirm,standalone-win,in-model-win-exceeds(T074),inventory/06-archive0708-jul8.md,
P3,T043,confirm,stale-verdict-flips,PROMOTED,inventory/02-notes2-p4b-to-jul8.md,
P3,T062,confirm,stale-verdict-flips,PROMOTED,inventory/05-archive0707-p3-jul7.md,
P3,T061,confirm,resweep-confirms-not-flips(wait-law),REFUTED+,inventory/06-archive0708-jul8.md,
P4,E003,confirm,soft-baseline-poisons,RETRACTION,inventory/01-notes1-v0-to-p4b.md,
P4,E015,confirm,folklore-target-poisons,corrected,inventory/05-archive0707-p3-jul7.md,
P5,T095,confirm,invisible-SASS-kill,NO-GO,inventory/08-live-board-jul8-9.md,
P5,T094,confirm,cadence-unmoved-kill,NO-GO,inventory/08-live-board-jul8-9.md,
P5,T082,counterexample,visible-implies-win,NO-GO,inventory/06-archive0708-jul8.md,
P6,T036,confirm,mechanism-not-portable,NO-GO,inventory/02-notes2-p4b-to-jul8.md,
P6,T053,confirm,knob-not-mechanism,NO-GO,inventory/05-archive0707-p3-jul7.md,
P6,E031,boundary,contract-level-composes,composed,inventory/02-notes2-p4b-to-jul8.md,
P6,E025,boundary,contract-level-composes,composed,inventory/06-archive0708-jul8.md,
P7,T031,confirm,broad-regresses,NO-GO,inventory/03-archive0707-p1-jul5-6.md,
P7,T114,confirm,per-shape-gates-win,PROMOTED,inventory/03-archive0707-p1-jul5-6.md,
P7,T074,confirm,same-mechanism-split-by-shape,PROMOTED,inventory/06-archive0708-jul8.md,
P7,T076,confirm,same-mechanism-split-by-shape,NO-GO,inventory/06-archive0708-jul8.md,
P8,E012,confirm,mechanism-impossible-rots,fell,inventory/04-archive0707-p2-jul6-7.md,
P8,E014,confirm,mechanism-impossible-rots,attribution-fell,inventory/05-archive0707-p3-jul7.md,
P8,T038,confirm,mechanism-impossible-rots,fell,inventory/02-notes2-p4b-to-jul8.md,
P8,E016,confirm,regime-claim-holds,held,inventory/06-archive0708-jul8.md,
P9,T113,confirm,trajectory-catches,NO-GO-CORRECTNESS,inventory/03-archive0707-p1-jul5-6.md,
P9,T111,confirm,parity-catches,NO-GO-CORRECTNESS,inventory/05-archive0707-p3-jul7.md,
P10,T111,confirm,contract-fence-load-bearing,NO-GO-CORRECTNESS,inventory/05-archive0707-p3-jul7.md,
C1,T095,confirm,source-respelling-dead,NO-GO,inventory/08-live-board-jul8-9.md,
C1,E019,confirm,composition-triggers,confirmed,inventory/08-live-board-jul8-9.md,21
C1,E020,confirm,pruned-image-recovers-grouping,confirmed,../qwen-nt-pruned-0ba235d.md,64
C1,E021,boundary,runnable-split-pending,scaffold,../qwen-nt-sidecar-launchabi-0ba235d.md,
C1,E022,boundary,runnable-split-pending,scaffold,../qwen-nt-sidecar-splitplan-0ba235d.md,65
C2,E023,confirm,image-isolation-insufficient,CALL=0-still-singleton,../attn-splitentry-sass-0ba235d-refuted.md,32
C2,E024,confirm,descriptor-slot-policy,root-caused,../attn-hgmma-drain-mechanism-0ba235d.md,10
C2,T124,confirm,REFUTED,REFUTED,../attn-splitentry-sass-0ba235d-refuted.md,32
